Submission ID,Dataset ID,Task Name,Scored Time (seconds)
113,36,Quiz1Q1,5.6
114,36,Quiz1Q1,2.4
115,36,Quiz1Q1,5.0
116,36,Quiz1Q1,5.4
117,36,Quiz1Q1,5.1
118,36,Quiz1Q1,7.4
119,36,Quiz1Q1,5.0
120,36,Quiz1Q1,5.1
121,41,Quiz1Q6,4.1
122,36,Quiz1Q1,5.2
123,36,Quiz1Q1,5.3
124,36,Quiz1Q1,7.1
125,36,Quiz1Q1,5.1
126,41,Quiz1Q6,3.0
127,36,Quiz1Q1,5.6
128,36,Quiz1Q1,5.1
129,36,Quiz1Q1,7.2
130,36,Quiz1Q1,7.0
131,36,Quiz1Q1,5.1
132,36,Quiz1Q1,8.1
133,36,Quiz1Q1,5.3
134,36,Quiz1Q1,4.9
137,41,Quiz1Q6,3.0
136,36,Quiz1Q1,8.1
135,36,Quiz1Q1,8.2
138,41,Quiz1Q6,6.3
139,36,Quiz1Q1,6.3
140,36,Quiz1Q1,7.1
141,36,Quiz1Q1,6.3
142,36,Quiz1Q1,5.2
143,36,Quiz1Q1,5.2
144,36,Quiz1Q1,7.1
145,36,Quiz1Q1,7.1
146,36,Quiz1Q1,7.0
147,36,Quiz1Q1,5.2
148,36,Quiz1Q1,5.1
149,36,Quiz1Q1,5.1
150,36,Quiz1Q1,6.2
151,36,Quiz1Q1,5.0
153,36,Quiz1Q1,2.4
152,36,Quiz1Q1,5.4
154,39,Quiz1Q4,7.9
155,36,Quiz1Q1,8.9
156,36,Quiz1Q1,5.3
157,36,Quiz1Q1,5.4
158,36,Quiz1Q1,5.1
159,36,Quiz1Q1,5.8
160,36,Quiz1Q1,5.1
161,36,Quiz1Q1,7.4
162,36,Quiz1Q1,5.1
163,36,Quiz1Q1,2.5
164,36,Quiz1Q1,4.9
165,36,Quiz1Q1,5.1
166,36,Quiz1Q1,5.0
167,36,Quiz1Q1,5.2
168,36,Quiz1Q1,7.6
169,36,Quiz1Q1,6.2
170,36,Quiz1Q1,5.5
171,36,Quiz1Q1,2.4
172,36,Quiz1Q1,5.0
173,36,Quiz1Q1,5.6
174,36,Quiz1Q1,5.5
175,36,Quiz1Q1,6.2
176,36,Quiz1Q1,7.1
177,36,Quiz1Q1,5.1
178,36,Quiz1Q1,9.3
179,36,Quiz1Q1,7.7
180,36,Quiz1Q1,6.8
181,36,Quiz1Q1,5.3
182,36,Quiz1Q1,2.4
183,36,Quiz1Q1,2.3
184,36,Quiz1Q1,5.3
185,36,Quiz1Q1,5.2
186,36,Quiz1Q1,2.4
187,36,Quiz1Q1,5.0
188,36,Quiz1Q1,5.4
189,36,Quiz1Q1,8.1
190,36,Quiz1Q1,7.6
191,36,Quiz1Q1,6.5
192,37,Quiz1Q2,8.0
193,36,Quiz1Q1,5.0
194,36,Quiz1Q1,8.8
195,38,Quiz1Q3,7.0
196,36,Quiz1Q1,12.4
197,36,Quiz1Q1,5.0
198,36,Quiz1Q1,5.0
199,38,Quiz1Q3,5.0
200,36,Quiz1Q1,7.5
201,36,Quiz1Q1,5.6
202,38,Quiz1Q3,5.1
203,36,Quiz1Q1,5.1
