first_name,total_score,correct_count,time_difference
S36,80.0,8,04:18:32
S19,56.0,5,04:56:20
S68,54.0,5,03:57:35
S39,48.0,4,03:52:46
S03,48.0,4,04:25:14
S69,44.0,4,04:45:34
S53,44.0,3,03:55:46
S51,40.0,4,03:25:07
S52,40.0,4,03:29:16
S04,40.0,4,04:26:43
S13,34.0,3,04:29:12
S45,32.0,3,04:08:26
S28,28.0,2,04:32:49
S24,24.0,2,02:35:04
S37,24.0,2,03:38:48
S16,24.0,2,03:43:24
S10,22.0,2,03:25:28
S42,22.0,2,04:04:41
S58,20.0,2,03:12:41
S57,20.0,2,03:23:29
S15,20.0,2,03:23:34
S48,20.0,2,03:30:46
S30,20.0,2,03:54:23
S47,20.0,2,04:02:25
S44,20.0,2,04:11:08
S17,20.0,2,04:13:02
S64,20.0,2,04:16:37
S33,18.0,1,02:12:01
S31,16.0,1,03:43:39
S27,16.0,1,04:24:35
S62,16.0,1,04:40:41
S32,14.0,1,03:13:40
S66,14.0,1,04:06:22
S35,12.0,1,01:36:51
S63,12.0,1,02:57:23
S40,12.0,1,03:20:20
S14,12.0,1,03:27:45
S38,12.0,1,03:33:45
S01,12.0,1,03:36:44
S50,12.0,1,03:39:59
S59,12.0,1,03:54:59
S61,12.0,1,03:55:34
S65,12.0,1,03:57:25
S05,12.0,1,03:57:59
S21,12.0,1,04:03:25
S06,12.0,1,04:03:26
S55,12.0,1,04:25:47
S49,12.0,1,04:27:54
S67,12.0,1,04:44:34
S43,12.0,1,04:49:12
S07,12.0,1,04:55:02
S56,12.0,1,04:56:26
S34,10.0,1,02:53:21
S22,10.0,1,03:38:12
S26,10.0,0,03:18:40
S12,8.0,0,04:29:09
S23,2.0,0,01:38:25
S29,2.0,0,02:09:47
S08,2.0,0,02:49:05
S54,0.0,0,00:52:36
S20,0.0,0,02:47:36
S60,0.0,0,02:49:05
S46,0.0,0,03:32:14
S18,0.0,0,03:41:42
S41,0.0,0,04:23:05
